Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
Mazda,Urban,Feb,2,Female,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability
Pontiac,Urban,Feb,2,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision
Dodge,Urban,Mar,4,Male,Married,53,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9,400,3,none,8 to 15,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision
Honda,Urban,Jul,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,10,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision
Honda,Urban,Jul,5,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Pontiac,Urban,Feb,2,Male,Married,28,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Aug,5,Female,Single,24,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,2,more than 30,more than 30,more than 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,Collision
Pontiac,Urban,Mar,1,Male,Married,55,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,3 to 4,Collision
Mecedes,Urban,Mar,3,Male,Married,65,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,15,500,4,more than 30,more than 30,1,6 years,51 to 65,No,No,External,none,2 to 3 years,1 vehicle,All Perils
Chevrolet,Urban,Mar,2,Female,Married,47,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,15,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision
Toyota,Urban,Mar,1,Female,Married,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability
Chevrolet,Urban,Aug,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,Collision
Pontiac,Urban,Aug,3,Male,Married,76,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1,700,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,Collision
Ford,Urban,Mar,4,Male,Married,47,Policy Holder,Sedan - Liability,Sport,60000 to 69000,0,11,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability
Mazda,Rural,Feb,3,Female,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision
Honda,Urban,Mar,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,11,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils
Pontiac,Urban,Feb,3,Female,Single,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Honda,Urban,Feb,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Pontiac,Urban,Feb,3,Female,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability
Honda,Urban,Feb,2,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Chevrolet,Urban,Feb,2,Male,Married,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability
Honda,Urban,Mar,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,13,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability
Pontiac,Urban,Apr,1,Male,Married,28,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,3,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils
Mazda,Urban,Feb,1,Male,Married,48,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Mar,4,Male,Divorced,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Jul,5,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils
Honda,Urban,Mar,3,Male,Single,0,Third Party,Sedan - Collision,Sedan,more than 69000,0,2,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Apr,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability
Pontiac,Urban,Apr,1,Male,Married,54,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Mar,2,Male,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability
Honda,Urban,Mar,2,Male,Married,45,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils
Mazda,Urban,Mar,1,Male,Single,29,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Feb,3,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,1 year,2 vehicles,Liability
Toyota,Urban,Jan,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,16,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision
Pontiac,Urban,Jan,1,Female,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Toyota,Rural,Apr,2,Female,Married,28,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,16,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Toyota,Rural,Mar,5,Male,Married,58,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils
Toyota,Rural,Feb,3,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,7,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision
Honda,Urban,Feb,2,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,5 to 8,Liability
Honda,Urban,Feb,2,Male,Married,47,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Liability
Mazda,Urban,Mar,3,Male,Married,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Pontiac,Urban,Mar,4,Male,Married,54,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,15,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability
Chevrolet,Urban,Feb,4,Female,Married,51,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Feb,4,Female,Single,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,700,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Accura,Urban,Feb,3,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,9,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Toyota,Urban,Mar,1,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,4,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Mazda,Urban,Feb,1,Male,Single,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Chevrolet,Urban,Feb,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Collision
Ford,Urban,Mar,2,Male,Married,40,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,3,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,3 to 4,Collision
Honda,Urban,Feb,1,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision
Toyota,Rural,Feb,1,Male,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Pontiac,Urban,Feb,1,Male,Single,27,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,2,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision
Pontiac,Urban,Jan,4,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability
Ford,Urban,Jan,4,Male,Married,35,Third Party,Sedan - Liability,Sport,40000 to 59000,0,15,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Liability
Pontiac,Urban,Jan,2,Male,Married,48,Third Party,Sedan - Liability,Sport,more than 69000,0,14,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability
Chevrolet,Urban,Jan,3,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Toyota,Urban,Jan,3,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,7,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Rural,Apr,3,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,13,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision
Toyota,Urban,Jan,4,Male,Married,56,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability
Pontiac,Urban,Mar,4,Male,Single,46,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1,500,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,Collision
Chevrolet,Urban,Jan,3,Female,Single,41,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability
Accura,Rural,Jan,2,Male,Married,46,Policy Holder,Utility - All Perils,Utility,more than 69000,0,12,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,All Perils
Mazda,Urban,Jan,2,Female,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability
Dodge,Urban,Jan,2,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Liability
Chevrolet,Urban,Jan,2,Male,Married,37,Third Party,Sedan - Liability,Sport,20000 to 29000,0,5,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability
Toyota,Urban,Jan,3,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13,400,4,more than 30,more than 30,1,4 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Jan,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,3,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils
Honda,Rural,Jan,4,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,5,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision
Mazda,Urban,Jan,2,Male,Married,45,Third Party,Sport - Collision,Sport,more than 69000,0,10,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision
Pontiac,Urban,Mar,3,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils
Honda,Urban,Jan,1,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,6,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Jan,2,Male,Single,0,Third Party,Sedan - Liability,Sport,more than 69000,0,9,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability
Honda,Urban,Jan,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,7,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils
Ford,Urban,Jan,2,Male,Married,45,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils
Chevrolet,Urban,Jan,1,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2,700,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,All Perils
Honda,Urban,Jan,1,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,8,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision
Chevrolet,Urban,Sep,5,Male,Married,72,Policy Holder,Utility - All Perils,Utility,more than 69000,0,13,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,All Perils
Chevrolet,Urban,Jan,1,Male,Married,39,Policy Holder,Utility - All Perils,Utility,more than 69000,0,5,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Jan,4,Male,Single,0,Third Party,Sedan - All Perils,Sedan,more than 69000,0,15,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Jan,3,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,7,400,3,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision
Mazda,Urban,Jan,1,Male,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Accura,Urban,Jan,3,Male,Single,26,Policy Holder,Utility - All Perils,Utility,more than 69000,0,15,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Honda,Rural,Jan,2,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Toyota,Urban,Apr,1,Male,Married,28,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,5,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils
Ford,Urban,Jan,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,4,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Toyota,Urban,Jan,3,Female,Single,35,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,8,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Toyota,Urban,Jan,2,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Honda,Urban,Jan,3,Male,Married,54,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils
Toyota,Urban,Jan,5,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,13,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Mazda,Urban,Jan,3,Male,Married,59,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,3 to 4,Liability
Pontiac,Urban,Jan,3,Male,Married,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Jan,4,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Liability
Toyota,Rural,Jan,4,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Accura,Urban,Feb,2,Male,Married,51,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,13,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils
Ford,Urban,Feb,1,Male,Married,64,Policy Holder,Utility - All Perils,Utility,more than 69000,0,1,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils
Toyota,Urban,Mar,3,Male,Single,26,Third Party,Sedan - Liability,Sport,30000 to 39000,0,8,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,Liability
Mazda,Urban,Apr,4,Male,Married,40,Third Party,Sport - Collision,Sport,more than 69000,0,1,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision
Toyota,Urban,May,5,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Mazda,Urban,Sep,3,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Honda,Rural,Mar,3,Male,Single,20,Policy Holder,Sport - Collision,Sport,more than 69000,1,3,400,4,more than 30,more than 30,2 to 4,4 years,21 to 25,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Jan,2,Male,Single,61,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Liability
Pontiac,Urban,Jul,3,Female,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability
Toyota,Urban,Oct,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision
Chevrolet,Urban,Oct,4,Male,Married,40,Policy Holder,Sedan - Liability,Sport,more than 69000,0,5,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Mazda,Rural,Sep,4,Male,Single,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14,400,2,more than 30,more than 30,1,7 years,36 to 40,Yes,Yes,External,more than 5,no change,1 vehicle,Collision
Toyota,Urban,Mar,4,Female,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability
Honda,Urban,Aug,2,Male,Married,40,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Rural,Mar,4,Male,Married,76,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3,400,4,more than 30,more than 30,none,more than 7,over 65,No,Yes,External,1 to 2,no change,1 vehicle,All Perils
Pontiac,Rural,Feb,3,Female,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision
Honda,Urban,Mar,2,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,5 to 8,Collision
Chevrolet,Urban,Feb,4,Male,Married,40,Third Party,Sedan - Collision,Sedan,30000 to 39000,1,6,500,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,Collision
Honda,Urban,Jan,3,Male,Single,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Toyota,Rural,Jun,3,Male,Single,69,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1,400,4,more than 30,more than 30,none,7 years,over 65,No,No,External,1 to 2,no change,1 vehicle,Liability
Pontiac,Urban,Jun,3,Male,Married,45,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,15,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils
Toyota,Urban,Mar,4,Female,Single,29,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,5,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision
Toyota,Urban,Mar,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability
Toyota,Urban,Feb,1,Male,Married,40,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,All Perils
Honda,Urban,Feb,1,Female,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability
Honda,Urban,Feb,1,Male,Single,28,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,12,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils
Honda,Urban,Feb,2,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Feb,2,Male,Single,43,Policy Holder,Sport - Collision,Sport,more than 69000,0,3,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Jan,4,Male,Single,67,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,15,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,All Perils
Pontiac,Urban,Feb,1,Female,Married,32,Third Party,Sedan - Liability,Sport,20000 to 29000,0,15,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Ford,Urban,Jan,4,Male,Single,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,Internal,3 to 5,1 year,1 vehicle,Liability
Mazda,Urban,Mar,3,Female,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,3,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils
Accura,Urban,Jan,3,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Toyota,Urban,Jan,2,Male,Married,58,Third Party,Sedan - Liability,Sport,30000 to 39000,0,2,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Liability
Honda,Urban,Feb,2,Male,Married,63,Policy Holder,Sport - Collision,Sport,more than 69000,0,5,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Collision
Toyota,Urban,Dec,5,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,7,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,All Perils
